s,l,n,m,metric,q,d_L,d_dec,d_bnd,n_sdp,tau,c,delta,alpha,r,status,runtime_s,solver,solver_status,c_floor,cond_P
0,1,2,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.008415781781808164,0.008415781781833944,certified,20.42418230138719,mosek,optimal,,
1,1,2,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.002713543067596538,0.0027135430671327418,certified,22.093273900449276,mosek,optimal,,
2,1,2,3,q,0,2,8,2,5282,0.0001,1.0,1/250,-0.0014680746668667736,0.0014680746645005162,certified,12.510622100904584,mosek,optimal,,
0,2,2,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.0027005428458410307,0.0027005428363883247,certified,22.54082129895687,mosek,optimal,,
1,2,2,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.0013374485596707789,0.001337448559670782,certified,24.896861100569367,mosek,optimal,,
2,2,2,3,q,0,2,12,2,23866,0.0001,1.0,1/250,-0.0007346824373297655,0.0007346824363425925,certified,55.94908140040934,mosek,optimal,,
0,3,2,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.0007574951883716448,0.0007574951891530702,certified,23.120072700083256,mosek,optimal,,
1,3,2,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.00046311360092476185,0.0004631136005685119,certified,20.878466200083494,mosek,optimal,,
2,3,2,3,q,0,2,8,4,6842,0.0001,1.0,1/250,-0.000276657544619049,0.00027665753951938135,certified,18.623722499236465,mosek,optimal,,
0,1,3,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.004217470127110707,0.004217470127311229,certified,18.283246099948883,mosek,optimal,,
1,1,3,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.0017608021131118614,0.0017608021121648893,certified,21.47515010088682,mosek,optimal,,
2,1,3,3,q,0,2,12,4,25426,0.0001,1.0,1/250,-0.0008867236291320975,0.0008867236282015146,certified,73.67105169966817,mosek,optimal,,
0,2,3,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.0008109049779315626,0.0008109049761199276,certified,19.43194980174303,mosek,optimal,,
1,2,3,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.00043609217488917553,0.0004360921747268657,certified,25.187911801040173,mosek,optimal,,
